batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,time,RMSE
256,200,32,128,0.6800066317620668,relu,rmsprop,0.832762487985603,1036342.866411939,9999999999999.0
512,200,64,64,0.3010224126893377,sigmoid,adam,0.0948504121873866,1036389.176426531,14258.494406096645
1024,200,32,64,0.628243748525831,relu,adagrad,0.7847851386083847,1036587.075704954,85369.1199704109
64,200,128,128,0.3180032689311122,tanh,adam,0.8392275640622522,1037170.030317033,6052866.352842122
128,200,64,128,0.5012617927695443,sigmoid,rmsprop,0.721985185664267,1037954.191077941,21569094.857883632
256,200,128,128,0.4702521698624785,tanh,adam,0.5769420625049351,1038475.722463355,9999999999999.0
64,200,128,64,0.3458800058443971,relu,adam,0.9790621082146164,1038890.070713831,9999999999999.0
1024,200,32,128,0.6316994226795144,sigmoid,adam,0.8065245446298732,1039612.514270818,14375.618439993525
128,200,64,64,0.4449349121717906,tanh,adam,0.1916625417994967,1039760.92269645,577393.6354022087
1024,200,64,32,0.4942307029921055,tanh,adam,0.0204587434906843,1040194.26415547,5187.810989788521
128,200,64,128,0.4252464599175903,sigmoid,rmsprop,0.4991377890350695,1040392.985829997,14079624.662749348
1024,200,64,64,0.4933179741639054,relu,adam,0.3253194004734066,1041034.068785339,145141.7625406486
256,200,64,32,0.4238462181322665,relu,adam,0.0001,1041171.133252649,3616.304624519573
512,200,64,32,0.3,sigmoid,adagrad,0.0001,1041563.907562672,14190.131564170726
512,200,32,32,0.3,sigmoid,adam,1.0,1042009.497625684,13417.37964452082
256,200,64,32,0.3,sigmoid,adagrad,0.0001,1042108.972132407,14295.79012282545
128,200,32,32,0.3,relu,adagrad,0.0001,1042738.225469188,3880.593710179363
1024,200,32,32,0.7,sigmoid,adam,0.0001,1045624.077857371,9287.566825318638
1024,200,32,32,0.3,relu,adagrad,0.0001,1045750.254615156,13677.075543787929
64,200,256,256,0.3,tanh,adagrad,0.6816156943551545,1046295.231518852,476417.7149136037
1024,200,128,32,0.7,sigmoid,adam,1.0,1049268.841188575,14172.740611277412
1024,200,64,32,0.7,sigmoid,rmsprop,1.0,1049488.238419709,1237111.48665249
64,200,32,64,0.3,sigmoid,rmsprop,0.0001,1049555.226650791,3867.587219293324
64,200,32,256,0.3,sigmoid,rmsprop,0.0851319377708582,1050252.893829755,7352782.108958649
64,200,64,256,0.3,tanh,adagrad,0.0001,1051010.738116337,3902.97632763569
64,200,128,256,0.3,sigmoid,rmsprop,0.0001,1057493.017983324,4182.943245612612
128,200,64,32,0.3,relu,rmsprop,0.0001,1059135.673132206,3510.95187242159
32,200,128,256,0.7,relu,rmsprop,1.0,1059482.200997363,9999999999999.0
256,200,128,32,0.5529844122802972,sigmoid,adagrad,0.2065992904180937,1059834.877851713,7599.0473771043135
1024,200,256,32,0.3,sigmoid,rmsprop,1.0,1061987.622618605,4492318.209307022
1024,200,32,32,0.3,relu,adam,1.0,1062228.458351648,93092.72034802462
512,200,256,32,0.3,sigmoid,adam,0.0001,1062641.167980091,4236.711189007986
64,200,256,256,0.3,tanh,adam,0.0001,1064004.848572267,5028.82928999132
1024,200,256,64,0.5347368655268429,sigmoid,adagrad,0.031267566095847,1065964.368930948,8229.773949471773
1024,200,128,32,0.7,relu,rmsprop,0.0001,1068700.65324283,4052.366235714772
1024,200,256,128,0.3,sigmoid,adam,1.0,1069001.497017507,37276.00073166991
1024,200,128,128,0.3,sigmoid,adam,0.0001,1069679.330339743,3950.704146787431
64,200,32,256,0.3,sigmoid,adam,0.0001,1070183.771266264,3745.3515776132576
256,200,256,128,0.3,sigmoid,rmsprop,0.0001,1071047.748831435,3962.714107497975
1024,200,256,32,0.3,tanh,adam,0.0001,1072253.628149765,4133.119783921621
1024,200,256,256,0.3,sigmoid,rmsprop,0.0001,1073050.557983136,4247.862169688792
1024,200,256,32,0.3,tanh,rmsprop,1.0,1074211.978859603,29032316.22882664
128,200,32,32,0.7,sigmoid,rmsprop,1.0,1074470.195424757,791321.0620104168
1024,200,64,32,0.7,tanh,rmsprop,1.0,1074713.22856445,28194882.81686912
512,200,256,32,0.3,relu,rmsprop,0.0001,1074780.330311034,3711.721333300907
1024,200,256,256,0.3,sigmoid,adam,0.0001,1075690.068314899,3810.069813579572
32,200,32,256,0.3,tanh,adam,0.0001,1076389.806057149,4960.958234474795
256,200,64,32,0.3,sigmoid,rmsprop,1.0,1077119.096561893,4678100.93355167
128,200,256,256,0.3,sigmoid,adagrad,0.0001,1077317.62943055,14058.40468269557
512,200,256,256,0.3,sigmoid,adagrad,1.0,1082415.341471067,14261.72815743087
512,200,256,64,0.3,sigmoid,rmsprop,1.0,1089262.888257251,13848384.495515302
32,200,32,32,0.3,tanh,rmsprop,0.0001,1089688.260732714,4626.688515305246
32,200,32,32,0.3,tanh,adam,0.0001,1090195.848567617,4348.54272265927
32,200,32,32,0.3,sigmoid,rmsprop,0.0001,1090760.501803999,4143.040975217987
1024,200,64,64,0.3,sigmoid,rmsprop,0.0001,1091497.492168282,3840.321370097823
1024,200,256,256,0.3,tanh,rmsprop,0.0001,1091842.180650107,5120.585462269176
1024,200,256,128,0.3,relu,rmsprop,1.0,1092321.492972421,9999999999999.0
1024,200,256,32,0.7,sigmoid,rmsprop,0.0001,1092381.400553786,3897.375348612637
1024,200,32,64,0.7,sigmoid,rmsprop,0.0001,1093513.901297186,4002.645020037444
