batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,time,RMSE
256,200,32,128,0.6800066317620668,relu,rmsprop,0.832762487985603,698085.603330662,9999999999999.0
512,200,64,64,0.3010224126893377,sigmoid,adam,0.0948504121873866,698536.737952878,2003.537032642488
1024,200,32,64,0.628243748525831,relu,adagrad,0.7847851386083847,698922.952413213,60382.96795793066
64,200,128,128,0.3180032689311122,tanh,adam,0.8392275640622522,699177.166898224,1278179.5225979807
128,200,64,128,0.5012617927695443,sigmoid,rmsprop,0.721985185664267,700651.437815311,4391779.844676989
256,200,128,128,0.4702521698624785,tanh,adam,0.5769420625049351,702016.127744594,706899.1934194945
64,200,128,64,0.3458800058443971,relu,adam,0.9790621082146164,702702.990742779,9999999999999.0
1024,200,32,128,0.6316994226795144,sigmoid,adam,0.8065245446298732,704258.293423299,2180.644173531617
128,200,64,64,0.4449349121717906,tanh,adam,0.1916625417994967,704535.574019621,113423.49270781309
1024,200,64,32,0.4942307029921055,tanh,adam,0.0204587434906843,705129.814421508,1833.3626072317463
512,200,64,64,0.5025996293056807,relu,adam,0.4268167291083958,705396.309418407,2003.538214227344
512,200,128,64,0.4144663508037077,relu,adam,0.4204649423505046,707648.04386402,7583.570638503676
128,200,256,256,0.3,tanh,adam,0.1856262568893044,710631.72985719,444784.7614221521
1024,200,32,32,0.7,sigmoid,adam,1.0,713028.483803512,2003.536750617944
1024,200,128,32,0.6231401110227374,sigmoid,adagrad,0.2642757037547699,713163.36540499,3415.1311647919506
1024,200,128,64,0.7,sigmoid,adam,1.0,714570.09155786,2006.367964438492
1024,200,128,128,0.3,relu,adam,0.0001,714985.754816286,1775.6575582866233
512,200,256,128,0.3,relu,adagrad,0.0001,715345.008882631,2062.292234018377
1024,200,256,64,0.3,relu,adagrad,1.0,725114.570366253,9999999999999.0
512,200,128,128,0.7,relu,adam,0.0001,725939.568848024,1836.79557351384
1024,200,32,32,0.3,sigmoid,adagrad,0.0001,726170.770127256,2007.6183820462563
256,200,64,32,0.7,sigmoid,adagrad,0.0001,726486.628745838,2013.857585564456
128,200,256,256,0.3,sigmoid,adagrad,0.0001,726967.446003325,2002.2887382384995
128,200,256,256,0.3,tanh,rmsprop,0.79684660129584,728680.08991435,9999999999999.0
256,200,128,128,0.3,relu,adam,0.0001,729015.763239786,2122.172269720468
512,200,256,256,0.3,tanh,adam,0.0001,729326.641064982,1918.2346884794265
128,200,64,128,0.3,tanh,adam,0.0001,729866.128931429,2303.582826456488
512,200,256,256,0.3,sigmoid,adagrad,0.0001,730188.004250214,2009.498111970977
256,200,256,256,0.3,sigmoid,adam,1.0,730737.150360586,102336.29630751855
1024,200,128,256,0.3,sigmoid,adam,1.0,731753.960620889,26721.64746027097
128,200,64,256,0.3,sigmoid,adam,0.0001,732012.488245732,1661.2620743274165
1024,200,64,256,0.3,tanh,adam,0.0001,732654.179416031,1762.7367589802172
64,200,32,256,0.3,sigmoid,adagrad,0.0001,732767.694855031,2012.0328761039784
64,200,32,64,0.3,sigmoid,rmsprop,0.0001,733395.442368578,1656.4113761872177
128,200,64,32,0.7,sigmoid,rmsprop,0.0001,733839.51621484,1982.0788336921623
64,200,32,32,0.7,tanh,rmsprop,0.0001,734269.667418217,1946.8460498294703
256,200,32,32,0.7,relu,adam,1.0,734590.678013392,2003.537317394874
32,200,32,256,0.7,tanh,adam,0.0001,735757.632307529,2577.9308847846364
256,200,128,32,0.7,sigmoid,adam,0.0001,736429.195947423,2011.850748960481
32,200,32,128,0.7,tanh,rmsprop,0.0001,736805.233280788,2246.985159063413
32,200,32,128,0.7,sigmoid,rmsprop,1.0,737383.481820174,3588788.7821568777
32,200,32,32,0.7,sigmoid,rmsprop,0.0001,738281.277350699,2286.2776356856
128,200,32,32,0.3,sigmoid,adagrad,1.0,738876.699198185,2003.549504108609
32,200,32,256,0.7,sigmoid,adam,1.0,739327.682050425,1498672.9484154347
32,200,32,256,0.3,relu,adagrad,1.0,740097.559281745,101845.7158701754
128,200,32,32,0.3,tanh,adam,0.0001,743324.719765341,2074.611666573541
32,200,32,32,0.7,tanh,adam,0.0001,743558.485221666,1897.6451894173351
128,200,32,32,0.7,sigmoid,adam,0.0001,744121.716019506,2004.7224029022327
256,200,256,32,0.7,sigmoid,rmsprop,0.0001,744363.997367662,1783.26274602832
32,200,64,256,0.7,sigmoid,rmsprop,0.0001,745636.911423381,2100.246430179495
64,200,32,128,0.7,sigmoid,adam,0.0001,746533.654447735,2009.220823241815
32,200,32,32,0.3,tanh,rmsprop,1.0,747213.3162039,9999999999999.0
128,200,32,32,0.7,relu,adagrad,0.0001,747570.412933577,2049.627635029881
512,200,64,32,0.7,sigmoid,adam,1.0,750485.578360852,2002.29656321264
1024,200,256,256,0.7,relu,adam,1.0,750612.317504685,9999999999999.0
256,200,128,128,0.3,sigmoid,adagrad,0.0001,750678.480937105,2018.187163487367
1024,200,64,128,0.3,sigmoid,adam,0.0001,751386.011435358,1881.6222382419264
256,200,128,64,0.7,sigmoid,adagrad,0.0001,751564.229693271,2008.468541401122
64,200,64,256,0.3,relu,adam,0.0001,752120.891294388,2139.447310791517
256,200,128,256,0.3,tanh,adam,0.0001,752638.535506899,2174.2004976652565
256,200,256,64,0.7,tanh,adam,0.0001,752982.862812931,1944.6678774202453
64,200,32,64,0.7,tanh,adam,0.0001,753801.592736037,1955.4986950171967
32,200,32,32,0.7,sigmoid,adam,0.0001,754194.943814825,1769.8093373138306
