batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,time,RMSE
256,200,32,128,0.6800066317620668,relu,rmsprop,0.832762487985603,596712.272265175,9999999999999.0
512,200,64,64,0.3010224126893377,sigmoid,adam,0.0948504121873866,596758.267448259,13135.126563187883
1024,200,32,64,0.628243748525831,relu,adagrad,0.7847851386083847,596975.280811662,246552.55357991284
64,200,128,128,0.3180032689311122,tanh,adam,0.8392275640622522,597432.057950712,9999999999999.0
128,200,64,128,0.5012617927695443,sigmoid,rmsprop,0.721985185664267,597887.199403486,21307223.14856328
256,200,128,128,0.4702521698624785,tanh,adam,0.5769420625049351,598389.543425246,2004608.155890176
64,200,128,64,0.3458800058443971,relu,adam,0.9790621082146164,598991.502221061,9999999999999.0
1024,200,32,128,0.6316994226795144,sigmoid,adam,0.8065245446298732,600071.88451345,12876.314846116811
128,200,64,64,0.4449349121717906,tanh,adam,0.1916625417994967,600233.237462161,597831.0582993982
1024,200,64,32,0.4942307029921055,tanh,adam,0.0204587434906843,600791.652236591,3604.896346193835
512,200,128,64,0.7,relu,adam,1.0,600941.996623146,9999999999999.0
1024,200,32,64,0.5572143366151596,sigmoid,adagrad,0.6119944687727223,600984.343584373,13135.107126474102
256,200,64,64,0.3,relu,adam,0.0001,601567.15911678,2933.443595229215
512,200,32,64,0.3,relu,adam,0.0001,601951.976976243,2898.1642832621947
256,200,32,64,0.3,sigmoid,adagrad,0.0001,602104.077743029,12968.306165483476
1024,200,32,32,0.3,sigmoid,adagrad,0.0001,602479.797289339,13134.305066077744
1024,200,32,32,0.3,tanh,adagrad,0.0001,602750.086898215,5069.861195157268
512,200,32,32,0.3,sigmoid,rmsprop,0.0001,603327.918496254,2832.3106464307625
256,200,32,32,0.3,tanh,adagrad,0.0001,603656.650370622,4046.125582039156
64,200,32,64,0.3,sigmoid,rmsprop,0.0001,605178.158000548,2845.89382317813
64,200,32,128,0.3,sigmoid,rmsprop,0.0001,606099.518572703,3150.3095202972613
1024,200,64,256,0.3,sigmoid,adam,0.0001,606795.250822586,3274.973421432073
128,200,32,32,0.7,relu,adam,0.0001,607109.003171355,2977.698183284125
1024,200,32,128,0.3,tanh,adam,0.0001,607596.882116808,3082.22981733224
512,200,128,256,0.3,tanh,adam,0.0001,607879.506039447,3128.25109754026
512,200,256,256,0.3,sigmoid,adam,0.0001,608387.776234749,3593.389123379988
1024,200,256,256,0.3,relu,adagrad,0.0001,609625.444821436,3804.887939315418
1024,200,32,64,0.7,sigmoid,rmsprop,0.0001,613535.953029542,3686.321759571084
64,200,32,32,0.3,tanh,rmsprop,0.0001,613865.403176443,3355.749853526242
1024,200,128,128,0.3,sigmoid,rmsprop,0.0001,614271.940989244,3863.9813521480846
512,200,256,256,0.3,sigmoid,rmsprop,0.0001,614597.034807631,3892.712827211728
32,200,32,32,0.7,relu,rmsprop,0.0001,616007.487668308,2925.921208763137
1024,200,256,256,0.7,sigmoid,rmsprop,1.0,616877.690176949,48659633.53615648
1024,200,256,32,0.3,sigmoid,rmsprop,0.0001,617157.357407503,3624.480029342596
256,200,64,256,0.3,sigmoid,adam,0.0001,617792.159376874,3594.805742300101
32,200,32,32,0.7,tanh,adam,0.0001,618569.381868651,3118.1594746114547
32,200,32,32,0.7,sigmoid,adam,0.0001,619509.264217827,7193.974481184348
256,200,128,64,0.3,sigmoid,rmsprop,0.0001,621050.754049427,2719.266033695847
1024,200,256,32,0.3,tanh,rmsprop,0.0001,622109.673043195,3499.154220952777
256,200,128,32,0.3,tanh,rmsprop,0.0001,622705.313065046,3234.8972878719774
1024,200,32,32,0.7,sigmoid,rmsprop,1.0,623329.548715801,625315.1931736647
512,200,256,128,0.3,tanh,rmsprop,0.0001,623407.631905102,3167.75035158592
1024,200,256,256,0.7,tanh,rmsprop,1.0,624281.572473956,212973110.95837155
32,200,32,256,0.7,sigmoid,adam,0.0001,624547.872753197,5281.064630208337
512,200,256,128,0.7,sigmoid,rmsprop,0.0001,625933.735353368,2675.8595154225054
32,200,32,32,0.3,tanh,rmsprop,1.0,627841.025563774,27747174.38089865
32,200,32,256,0.7,sigmoid,rmsprop,1.0,628399.54453294,48265408.89558946
32,200,32,128,0.7,tanh,rmsprop,0.0001,629553.623485992,3628.178753932668
128,200,64,32,0.3,sigmoid,rmsprop,0.0001,630546.691685788,3710.4061719004585
1024,200,32,256,0.3,sigmoid,adagrad,0.0001,631236.219985411,13081.80547232538
32,200,32,256,0.3,tanh,adam,0.0001,631417.990415944,3891.016886447713
1024,200,128,256,0.7,tanh,rmsprop,0.0001,632215.038399552,3436.6429069990604
1024,200,64,32,0.3,sigmoid,rmsprop,0.0001,632392.532755384,3413.4940030398952
128,200,32,256,0.7,sigmoid,adam,0.0001,632621.86479079,4551.211654510485
1024,200,32,128,0.3,sigmoid,adam,0.0001,633444.615823156,3070.6248343255925
64,200,32,32,0.7,sigmoid,adagrad,1.0,633742.681805039,12967.469062510978
1024,200,64,64,0.3,tanh,rmsprop,0.0001,634242.393323307,3115.4402849163343
32,200,256,256,0.7,sigmoid,rmsprop,0.0001,634386.139699755,3276.330527887659
1024,200,64,256,0.7,tanh,adam,0.0001,639966.159841696,3170.2092464796656
32,200,32,256,0.7,tanh,rmsprop,0.0001,640215.831755446,3477.871050924759
256,200,256,32,0.7,tanh,rmsprop,0.0001,640980.714664363,3022.591365352205
32,200,256,32,0.7,sigmoid,rmsprop,0.0001,642655.855562795,2933.644762511242
1024,200,256,256,0.7,tanh,adam,1.0,647247.443457625,9999999999999.0
128,200,256,32,0.7,sigmoid,rmsprop,0.0001,647334.898955436,2970.234177368341
32,200,64,256,0.7,sigmoid,rmsprop,0.0001,649975.074598375,3341.176003022181
