max_depth,learning_rate,min_samples_split,min_samples_leaf,n_estimators,time,RMSE
320,0.0812608544859241,2,9,157,3.802205416999641,3908.1965284478174
28,0.1682216948867533,9,8,147,3.5235842919992137,3892.394475292748
490,0.0104856460274354,2,4,84,2.391086042000097,3900.915929660155
368,0.0109395357142269,8,9,75,1.7962219580003875,3931.917331560325
392,0.0819234469830094,6,1,40,1.3127754580000328,3938.802038725877
23,0.0651132478815074,7,3,169,5.006673166999462,3856.106369555585
95,0.1447787067764676,5,9,105,2.4862515419990814,3916.222029121964
342,0.1550707618073842,3,7,154,3.882722374999503,3885.648073798192
305,0.0242910695224702,3,4,114,3.238875791001192,3885.256696425174
274,0.1196109529712347,7,2,30,0.9286621669998568,3942.881843783912
11,0.0860687319115493,9,1,184,4.648382249999486,3865.784669321181
24,0.0279612016363535,8,4,168,4.635288915998899,3867.5270979123234
14,0.0383494909744689,7,3,171,4.787682541000322,3855.3550050680046
22,0.1145670227227821,3,3,180,5.458474417000616,3857.097248125741
18,0.1429085202916471,9,7,177,4.46496416699847,3880.0756449232495
12,0.0879069823369955,3,4,162,4.308609707999494,3853.76317004424
1,0.191526582015574,9,1,171,0.6425439999984519,10307.0468958412
22,0.2,2,1,155,5.8265697920014645,3866.360810474151
17,0.1406421990725016,7,3,195,5.735847250000006,3859.65210139836
38,0.01,2,8,158,3.7603721670002415,3890.9159520517424
13,0.1669789944412021,5,6,146,3.621897417000582,3885.554141277364
333,0.1144095194459667,2,8,168,4.050066584000888,3887.21126974349
349,0.0492486674679344,3,1,168,5.934592250001515,3868.047836741475
330,0.01,10,1,157,4.49439858400001,3857.232886563349
325,0.0385916132110039,6,6,143,3.7454172910001935,3880.243880011282
340,0.01,10,1,141,4.260101583000505,3859.1057580829297
337,0.2,2,10,132,3.286874416000501,3932.897620652565
319,0.0618339522104205,4,5,126,3.940400750001572,3868.79869932629
310,0.125273332800001,2,7,139,3.848955041999943,3886.9836000912064
304,0.2,10,10,127,2.8642935830012,3930.826932248026
354,0.01,10,1,152,4.542043624998769,3856.5217554465976
352,0.0183904319102878,3,9,139,3.262899250001283,3912.725270253476
313,0.01,10,1,150,4.344788874999722,3854.8100933187934
319,0.0666198009432114,8,2,172,4.919472292000137,3863.309262259986
359,0.2,2,10,160,3.5972439170000143,3917.186753695773
306,0.1743038733479963,3,8,163,3.9041521250001097,3885.392558110319
299,0.1993463850883429,8,6,148,3.638462375000017,3881.796521648465
