max_depth,learning_rate,min_samples_split,min_samples_leaf,n_estimators,time,RMSE
320,0.0812608544859241,2,9,157,5.28373745799945,1509.905061074952
28,0.1682216948867533,9,8,147,5.13457437499892,1512.3506486665474
490,0.0104856460274354,2,4,84,3.505704458000764,1508.8201089731017
368,0.0109395357142269,8,9,75,2.51569579200077,1481.7781666763203
392,0.0819234469830094,6,1,40,1.9863160829991104,1632.8479215175698
23,0.0651132478815074,7,3,169,7.56021016700106,1538.2947092531197
95,0.1447787067764676,5,9,105,3.647953375000725,1493.1234889307475
342,0.1550707618073842,3,7,154,5.612706958998388,1514.7569717218194
305,0.0242910695224702,3,4,114,4.757775957999911,1514.291701817789
274,0.1196109529712347,7,2,30,1.3732880420011495,1557.2762419964802
365,0.0710208636533504,6,9,87,2.934865790999538,1485.122053854004
367,0.0730453573933686,7,7,76,2.821230999999898,1488.163276475987
389,0.0508522161167057,6,9,97,3.373143209000773,1491.864764840019
61,0.2,8,10,114,3.7714147089991457,1505.5726132357183
99,0.2,10,10,139,4.7955478340009,1510.0930352163896
83,0.01,10,1,75,3.562769499998467,1603.6278284008415
121,0.2,2,10,113,3.8541363749991433,1503.5856292005503
368,0.01,10,10,119,3.962981000000582,1507.070374821483
335,0.01,10,10,76,2.477846874999159,1487.4682512783727
331,0.01,10,10,48,1.56767979200049,1483.7465269291122
310,0.01,2,10,66,2.1567558749993623,1487.6779693036942
420,0.01,10,10,123,4.011352833000274,1508.844519198572
3,0.1565863370973237,3,9,108,1.0918911249991652,1484.9732798557172
1,0.2,4,1,79,0.2868267920002836,1820.437205055116
2,0.1100289590056565,3,9,131,0.8717059589998826,1525.2759424168216
337,0.0514428775652459,2,8,103,3.556493625001167,1502.5506153445506
28,0.2,2,10,116,4.010870665999391,1506.0387893375328
326,0.0345198055649306,2,5,20,0.8059769159990537,1476.8499071659971
349,0.142907114521652,4,7,12,0.4499565419991995,1512.7961681975644
310,0.0674459429796512,3,1,37,1.9604007090001687,1658.791955281583
349,0.1299673353241384,4,9,59,1.968304958998488,1479.952194476754
344,0.1790149430005128,2,7,35,1.2492147499997373,1488.4853099529362
315,0.0204971156854976,2,1,86,4.775218000000677,1616.151454447274
328,0.0553623031572671,2,5,63,2.785821165998641,1491.98540771816
393,0.0506169811475197,2,5,120,4.851199665999957,1505.8653780655015
412,0.1850533526896699,9,2,94,4.239607749999777,1582.5980617723706
328,0.2,10,10,10,0.3326227090001339,1548.2662319735994
