max_depth,learning_rate,min_samples_split,min_samples_leaf,n_estimators,time,RMSE
320,0.0812608544859241,2,9,157,3.858713583998906,3165.970015822586
28,0.1682216948867533,9,8,147,3.612935332999768,3161.4696385002458
490,0.0104856460274354,2,4,84,2.3853302499992424,3152.440845445654
368,0.0109395357142269,8,9,75,1.8143061669998133,3172.074436544136
392,0.0819234469830094,6,1,40,1.331566582999585,3193.819392798938
23,0.0651132478815074,7,3,169,5.414181957999972,3153.5298479274816
95,0.1447787067764676,5,9,105,2.5646803750005347,3169.0729926648173
342,0.1550707618073842,3,7,154,4.086480750000192,3160.3823099706456
305,0.0242910695224702,3,4,114,3.404520667001634,3155.053572082383
274,0.1196109529712347,7,2,30,0.9544765000009648,3189.912678194846
500,0.01,2,7,127,3.3227903749993857,3160.982305972784
24,0.0279612016363535,8,4,168,4.870401416999812,3148.65399378464
31,0.1234789705483624,5,9,165,4.0709973749999335,3162.1514832470107
25,0.0330569120936753,4,3,160,5.030083958001342,3157.005869902902
491,0.0985471777530968,4,7,93,2.468827332999353,3164.6634504688063
487,0.1870946266550843,8,1,82,3.0422357079987705,3178.6302782579446
26,0.0386427575457725,6,1,167,5.769168791999618,3154.8445978619206
22,0.01,10,7,163,4.40003175000129,3158.660097966474
497,0.0378292283680973,4,7,83,2.3367347920011525,3165.239488656239
22,0.1814716732906699,2,5,165,4.829563875000531,3165.4391801258303
308,0.1617900561812386,6,3,108,3.6139443749998463,3158.144110066059
313,0.0365359316658957,4,7,113,3.186377125000945,3162.2552995649166
29,0.0719611467556052,9,9,174,4.6699331250001705,3155.913021884568
28,0.01,10,2,164,5.508655292000185,3164.4204644914767
27,0.0208153539985279,6,5,171,5.175882165998701,3160.274177280807
301,0.0558378001409055,7,8,111,3.113050207999549,3166.302495919017
27,0.1450928680610277,8,8,169,4.982832125000641,3156.6020641528075
305,0.1895137368865564,3,6,121,3.541196459000276,3164.4807983876653
22,0.1093718595132948,9,2,166,5.572399750000841,3166.178707347517
26,0.0487247121169773,9,2,171,5.793040750000728,3158.1799780692204
487,0.1378681311649446,3,6,86,2.5377589170002466,3164.127709555132
493,0.01,2,1,86,3.7420463750004274,3178.481175752893
308,0.0249108445324263,6,6,111,3.299780583000029,3166.6254047513767
24,0.1109329576817886,8,6,168,4.786018374999912,3159.6462385169043
28,0.1939718293782406,7,4,167,4.640240749999066,3147.9033855347434
30,0.1254974818411965,7,3,168,5.114175750000868,3152.6226966547206
29,0.1040864294262472,8,5,169,4.379232375000356,3161.921058606744
29,0.0689704772793431,9,3,166,4.981392667001273,3158.230831313336
28,0.1012846846432118,7,5,164,4.434381957998994,3164.801856377061
29,0.0948247652088756,5,3,170,4.881844042000012,3152.71221174949
28,0.1837372728857726,5,2,168,5.427827792000244,3161.814252075796
29,0.0346270927086656,5,2,173,5.352910667001197,3161.1576670766194
27,0.1482532756728379,6,3,165,4.716088000001037,3156.0370441484133
31,0.195084279804751,5,3,171,4.89359095799955,3151.628412619244
33,0.1619892761465178,6,3,173,5.449481667001237,3152.786109494772
33,0.1057756930155964,8,3,170,4.846237374998964,3153.10910829505
34,0.1121256385786443,5,6,172,4.263603749999675,3157.174140922082
33,0.097785042138853,8,5,166,4.263523207999242,3164.4059200028178
33,0.0856026782311183,8,1,171,5.128409541999645,3153.57821881229
26,0.1710975505885348,6,5,167,4.2879713749989605,3162.1158896085803
492,0.0795208983601821,4,5,83,2.1377908749982453,3172.893783152548
34,0.0569487730148728,6,3,171,4.906336709000243,3151.628412619244
33,0.167010200539453,9,4,174,4.6328656660007255,3154.3209671026766
25,0.0103038272901944,9,1,168,5.01918379199924,3157.4205307034144
24,0.0309464014145279,7,2,169,4.931866332999562,3163.858637496046
31,0.1552056343244867,5,3,168,4.800099916999898,3153.3329839208586
30,0.1586029645997896,7,2,172,5.009004542000184,3160.2062643928903
30,0.1152099428881083,3,5,170,4.365491790998931,3160.865862128792
34,0.1538376757756537,2,2,169,5.241256416000397,3165.4576780965704
27,0.0784743285309617,9,9,171,3.893511042000682,3156.1583955067567
36,0.1034807782040645,9,2,172,4.8698710829994525,3158.1280962531146
32,0.079381991192008,6,4,176,4.842105167001137,3146.6311063665016
32,0.1758573176222167,3,6,177,4.424304707999909,3157.736795011823
31,0.0503508369535072,8,7,174,4.234657417000562,3154.7743796532536
35,0.1531753237929899,6,2,173,5.2054502079990925,3164.6917183749583
32,0.0704966299014561,7,5,173,4.531614708001143,3161.449279648837
35,0.1842169439352902,9,6,171,4.250394290998884,3157.4861641123234
34,0.1919327695554221,6,6,176,4.432265541998277,3157.0619125014023
33,0.0715365897594533,6,2,178,5.386245666000832,3164.046647811976
24,0.1584213870167421,9,2,167,5.126311041000008,3160.767584160345
32,0.1849609904901964,8,3,175,4.869965416999548,3153.328944993345
33,0.1445433413553538,8,1,167,5.037175000001298,3156.456333893233
34,0.0522557402581629,9,3,173,4.744739916999606,3154.6489605295924
32,0.1618289833411965,5,1,172,5.59551833399928,3159.69381299747
31,0.1015388867589518,5,3,177,5.102790791999723,3150.742072420265
29,0.1417908481337893,7,2,166,4.855547415998444,3165.851617789155
35,0.0463029212460022,7,5,169,4.348434333000114,3161.921058606744
31,0.1006668676327751,5,6,177,4.3832107089983765,3157.736795011823
34,0.1459772406954605,9,3,175,4.793315292001353,3155.320908729948
30,0.077799178750406,4,3,179,5.113687834000302,3150.922379865408
31,0.1731425800440913,2,3,177,5.080791958998816,3150.742072420265
33,0.1855483733847338,9,3,172,4.714686209001229,3154.0627657362
32,0.0881704642888633,6,1,169,5.434075541999846,3155.653910812602
33,0.0276994341649067,2,2,179,5.716809499999727,3162.140688733857
26,0.0707958541792484,8,4,168,4.54902150000089,3148.8821989021462
31,0.0870817078999743,2,3,174,4.964543624999351,3152.5202951529054
30,0.067370458544997,2,2,175,5.441555833000166,3164.179108844862
31,0.1488634876876104,2,5,177,5.002811625001414,3160.9741985030946
33,0.0119441641699237,8,4,172,5.041737625000678,3147.0680579253035
34,0.1011378073461994,3,4,173,5.108193707999817,3148.0618885039034
29,0.0829567727417046,4,3,177,5.431146916998841,3150.742072420265
32,0.080789304640769,8,5,180,4.79625841699999,3160.785800975147
30,0.028389767134049,3,4,180,5.029975333000039,3148.279519532483
28,0.0696564964067405,4,3,178,5.185603375000937,3150.453846979369
27,0.0499017352001001,2,3,180,5.426425625000775,3149.977280444679
31,0.0459217077554163,2,6,183,4.581301207999786,3157.108613483862
26,0.0407721546133635,6,3,180,5.170808124999894,3150.2620361178647
28,0.0586312188302028,3,3,183,5.274491625001247,3150.3187829054086
26,0.1450872262258135,8,6,181,4.518098833999829,3156.063455621742
24,0.1038558193598785,7,2,181,5.324018290999447,3159.8608826657955
28,0.0650075196357596,3,6,182,4.5707994579988735,3156.752018913813
33,0.1154238712902615,4,5,175,4.5081417500005045,3160.709896740605
28,0.0309440665225035,4,3,181,5.233683209000446,3149.75624007169
30,0.1648865830170565,5,2,180,5.521630582999933,3161.31578816116
26,0.0139293122556209,2,4,180,4.892045374999725,3148.719540918654
26,0.1391139711633534,5,2,178,5.445021625000663,3158.479410217529
24,0.0817204211883843,3,4,180,4.96021570800076,3148.5161379251585
27,0.0845658745446367,4,3,181,5.212520041999596,3149.75624007169
26,0.0806548548810724,2,3,182,5.2715100000004895,3151.091960348448
26,0.043165914231385306,6,3,184,5.284140457999456,3150.5883328955374
