batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,transformer_layers,num_heads,time,RMSE,conv1d_filters
512,200,,64,0.1491490921829134,tanh,adam,0.934935627644923,1,3,2972865.556318465,8484.653346682095,32
64,200,,32,0.7,relu,rmsprop,0.0001,2,5,2994135.31286278,4397.370643788515,128
32,200,,32,0.7,relu,rmsprop,0.0001,2,5,3001669.430412133,4394.916787505602,128
64,200,,64,0.4533542339067762,relu,rmsprop,0.0001,2,5,3011328.872871055,4343.543465028503,128
64,200,,32,0.4431763227161571,sigmoid,rmsprop,0.0001,2,5,3021436.45530345,4695.773221922785,128
64,200,,32,0.4295149939532423,relu,rmsprop,0.0001,2,5,3030780.480857248,4633.544251488791,128
32,200,,32,0.6326382534847698,relu,rmsprop,0.0049089605817171,1,6,3049660.122397706,3741.52145091754,128
64,200,,32,0.5972196589582827,relu,rmsprop,0.0001,2,6,3051794.120473049,4751.6215704723545,128
32,200,,64,0.4234831299547732,relu,rmsprop,0.0001,1,6,3061163.253444448,3244.932880751945,128
32,200,,32,0.2499555835454793,sigmoid,rmsprop,0.0100573314171824,1,5,3067340.043899748,3544.514502887478,128
256,200,,128,0.1697588306768567,relu,adagrad,0.0019514994502749,3,6,3069656.252932882,3435.172163949615,128
64,200,,32,0.6283137650683417,relu,rmsprop,0.0001,2,6,3074244.612208672,3636.887435146975,128
32,200,,32,0.7,relu,rmsprop,0.0001,2,6,3101500.14119582,4565.300807727875,128
256,200,,256,0.1779108830782832,relu,adagrad,0.0001,3,6,3122876.375138236,3337.5811170265806,128
64,200,,32,0.7,relu,rmsprop,0.0001,1,6,3135259.40322236,4548.948098666985,128
32,200,,32,0.7,sigmoid,rmsprop,0.0001,1,6,3141796.011341949,4800.762537709768,128
32,200,,32,0.1413748852683293,sigmoid,rmsprop,0.0001,2,6,3144988.990016785,3960.632215390916,128
256,200,,128,0.3526301037397168,sigmoid,adagrad,0.0001,3,6,3164611.382341759,3396.978409931655,128
1024,200,,128,0.1603960065151861,tanh,rmsprop,0.0001,2,6,3335244.896265075,4629.451952215323,64
1024,200,,128,0.7,tanh,rmsprop,0.0001,3,8,3336432.727077021,4997.779929974747,256
1024,200,,256,0.1,sigmoid,rmsprop,0.0001,1,8,3338890.837504817,4508.621948367764,256
1024,200,,128,0.1,sigmoid,rmsprop,0.0001,3,8,3339551.059124049,4011.515592245398,32
1024,200,,32,0.7,sigmoid,rmsprop,0.0001,1,6,3342274.457162829,7499.677719417598,256
1024,200,,64,0.1,tanh,adam,0.0001,1,8,3345139.304665699,4847.992266487642,256
32,200,,32,0.7,sigmoid,rmsprop,0.0001,3,2,3346230.045459454,4506.938166836505,32
256,200,,256,0.1,tanh,rmsprop,0.0001,1,8,3355587.824442431,4327.271146100177,32
512,200,,32,0.7,sigmoid,rmsprop,0.0001,1,8,3357594.250772605,6474.523237218616,32
512,200,,32,0.1,tanh,adam,0.0001,3,8,3362090.193137978,3707.4546678494985,32
1024,200,,256,0.1,sigmoid,rmsprop,0.0001,3,5,3366793.831056571,3734.823488931637,256
