batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,transformer_layers,num_heads,time,RMSE,conv1d_filters
1024,200,,32,0.1568559329057225,tanh,rmsprop,0.7367331595842421,2,8,1212143.731438395,2041.2169556425704,64
128,200,,32,0.6874360085296227,tanh,rmsprop,0.9002908946468462,1,8,1216612.42030743,9246.36170596484,64
512,200,,64,0.1606711684044646,relu,adam,0.3624010467014337,1,2,1217852.477356126,8506.501578335623,32
64,200,,64,0.6521027946840218,relu,adam,0.1111874485317199,1,2,1219699.439408583,4093.518810805859,64
512,200,,64,0.1491490921829134,tanh,adam,0.934935627644923,1,3,1222174.121712359,1833.91624690526,32
256,200,,32,0.1,relu,adam,1.0,1,3,1222722.261714204,7860.667449740886,64
32,200,,64,0.7,relu,adam,1.0,2,4,1226288.388232488,50000.0,128
256,200,,32,0.7,tanh,adam,0.0001,1,2,1228294.147807292,1803.82038483044,128
512,200,,32,0.7,tanh,adam,1.0,1,8,1232159.233062202,3198.7184873867736,32
64,200,,32,0.1,tanh,adam,1.0,1,8,1232751.119774539,5972.411467890081,32
128,200,,32,0.1,tanh,adam,1.0,3,2,1233837.759312573,7887.431493545679,32
128,200,,256,0.1,tanh,adam,0.0001,2,2,1236313.237670603,1715.7860577369545,32
1024,200,,32,0.7,sigmoid,rmsprop,1.0,1,8,1240240.078191238,2218.887242143192,32
256,200,,128,0.7,tanh,adam,0.0001,3,2,1240806.717514324,1701.3493333497129,128
128,200,,256,0.7,relu,adam,0.0001,1,2,1250744.976218743,1763.1505611502057,128
256,200,,32,0.1,sigmoid,adam,0.0001,3,2,1254356.732703728,1620.4027195903411,128
64,200,,32,0.1,tanh,adam,0.0001,3,2,1262540.324629422,1848.17551882232,256
256,200,,32,0.7,tanh,adam,1.0,3,2,1267615.083545435,3867.075823840697,256
128,200,,32,0.7,sigmoid,rmsprop,0.0001,1,2,1270861.080016113,1738.2037568854694,256
1024,200,,32,0.7,sigmoid,rmsprop,0.0001,3,2,1275521.152136708,2008.3373860524985,256
128,200,,32,0.7,relu,rmsprop,1.0,3,2,1283397.903899661,50000.0,256
1024,200,,32,0.7,sigmoid,adam,1.0,3,2,1307310.471542746,2704.8270460353547,64
