batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,transformer_layers,num_heads,time,RMSE,conv1d_filters
128,200,,64,0.7,tanh,adagrad,0.0001,2,3,2278793.453653428,4986.106477203138,64
512,200,,256,0.1,tanh,rmsprop,0.0001,2,7,2288949.656381851,4733.050536779901,256
128,200,,64,0.7,tanh,adagrad,0.0001,2,3,2289672.925267786,4441.693751891899,128
128,200,,64,0.7,tanh,rmsprop,0.0001,2,3,2297723.330169171,5112.548847381137,128
128,200,,64,0.7,tanh,rmsprop,0.0001,1,4,2307958.384199673,3353.949860931051,128
256,200,,64,0.7,tanh,rmsprop,0.0001,2,4,2314150.68114455,3713.0699210778016,128
128,200,,32,0.7,relu,rmsprop,0.0001,2,4,2318343.054786652,3461.553480519003,128
256,200,,32,0.7,tanh,rmsprop,0.0001,2,4,2328496.654818843,5081.057332198378,64
64,200,,32,0.1,tanh,rmsprop,0.0001,2,4,2335662.369551885,2979.9347674207456,64
64,200,,64,0.7,relu,rmsprop,0.0001,2,3,2345206.512834617,3405.714208659828,128
64,200,,64,0.7,relu,rmsprop,0.0001,1,4,2352160.848399844,3744.265194394093,32
64,200,,32,0.7,relu,adagrad,0.0001,1,3,2357803.011323299,4345.154471459695,128
64,200,,32,0.7,relu,rmsprop,0.0001,2,2,2362362.921187819,4181.012290030549,64
32,200,,64,0.7,relu,adagrad,0.0001,2,4,2371086.178555902,3694.010969057082,64
32,200,,64,0.7,tanh,rmsprop,0.0001,1,3,2378120.562086402,3058.120648654225,64
32,200,,64,0.6942318872011191,tanh,adagrad,0.0001,2,2,2384053.936943476,2969.4512924199425,128
64,200,,32,0.7,tanh,adagrad,0.0001,2,3,2397516.222400635,4994.521351843173,32
32,200,,32,0.7,relu,rmsprop,0.0001,2,3,2406069.132692784,3749.054779404447,128
32,200,,64,0.7,tanh,rmsprop,0.0001,3,3,2415082.651018428,3649.2469231543087,64
32,200,,32,0.7,relu,rmsprop,0.0001,3,4,2426978.799497652,3513.907454871211,64
32,200,,32,0.7,tanh,rmsprop,0.0001,1,5,2440303.46742004,3316.2549921289124,64
64,200,,64,0.7,tanh,rmsprop,0.0001,2,4,2445554.536068481,4543.4640475359,32
32,200,,64,0.7,relu,rmsprop,0.0001,2,3,2452243.057313371,3258.441739648349,32
32,200,,32,0.7,relu,adagrad,0.0001,1,4,2463510.150153191,3512.835792866428,32
32,200,,64,0.7,sigmoid,rmsprop,0.0001,1,4,2469939.687560154,4305.823175233548,64
32,200,,64,0.7,tanh,rmsprop,0.0001,1,4,2472358.568451927,2923.281574826586,128
32,200,,128,0.7,relu,rmsprop,0.0001,1,4,2477015.756276464,2902.5922459247395,64
32,200,,128,0.7,tanh,adagrad,0.0001,2,3,2483934.682368485,3478.86359971111,64
